Model Year,Mfr Name,Division,Carline,Engine Displacement,Cylinder,Transmission,City FE ,Highway FE,Combined FE,Air Aspiration Method,Transmission Desc,Gears,Drive Desc,Fuel Usage Desc,Carline Class Desc
2015,BMW,BMW,740Li,3,6,Automatic,19,29,23,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,740Li xDrive,3,6,Automatic,19,28,22,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,750i,4.4,8,Automatic,17,25,20,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,750i xDrive,4.4,8,Automatic,16,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,750Li,4.4,8,Automatic,16,25,19,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,750Li xDrive,4.4,8,Automatic,16,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,760Li,6,12,Automatic,13,20,15,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,ActiveHybrid 7L,3,6,Automatic,22,30,25,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,Alpina B7 LWB,4.4,8,Automatic,16,25,19,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,Alpina B7 LWB xDrive,4.4,8,Automatic,16,24,19,Turbocharged,Semi-Automatic,8,All Wheel Drive,Gasoline (Premium Unleaded Recommended),Large Cars
2015,BMW,BMW,Alpina B7 SWB,4.4,8,Automatic,16,25,19,Turbocharged,Semi-Automatic,8,"2-Wheel Drive, Rear",Gasoline (Premium Unleaded Recommended),Large Cars
